SALDE;N;16;Faixa de;
SALATE;N;16;Faixa ate;
VALFIX;N;13;Valor Fixo do Aumento;
ADMISSADT1;D;8;Admissäo de;
ADMISSADT2;D;8;Admissäo ate;
SALPERC;N;10;Perc. Aumento;
A00_FILIAL;C;8;Filial      ;
A00_CODTER;C;6;Cod. Territ.;
A00_CODAGR;C;6;Cod. Agrup. ;
A00_NIVAGR;C;3;Nível       ;
A00_DSCNIV;C;40;Descrição   ;
A00_DTINIC;D;8;Data Inicial;
A00_DTFIM ;D;8;Data Fim    ;
A00_OPER  ;C;1;Operação    ;
A00_PONTOS;N;4;Pontos      ;
A00_MSBLQL;C;1;Status ?    ;
A01_FILIAL;C;8;Filial      ;
A01_CODAGR;C;6;Código      ;
A01_DSCAGR;C;40;Descrição   ;
A01_PONTOS;N;4;Pontos      ;
A01_MSBLQL;C;1;Status ?    ;
A02_FILIAL;C;8;Filial      ;
A02_CODAGR;C;6;Agrupador   ;
A02_NIVAGR;C;3;Nível       ;
A02_DSCNIV;C;40;Descrição   ;
A02_CODTER;C;6;Território  ;
A02_TPMBRO;C;1;Membro      ;
A02_CODMBR;C;6;Código      ;
A02_NOMMBR;C;40;Nome        ;
A02_MSBLQL;C;1;Status ?    ;
A03_FILIAL;C;8;Filial      ;
A03_CODSEQ;C;6;Código      ;
A03_DESCR ;C;40;Descrição   ;
A03_ROTINA;C;10;Rotina      ;
A03_MSBLQL;C;1;Status ?    ;
A04_FILIAL;C;8;Filial      ;
A04_CODSEQ;C;6;Cod. Seq.   ;
A04_ORDEM ;C;2;Ordem       ;
A04_CODAGR;C;6;Agrupador   ;
A04_DSCAGR;C;30;Descrição   ;
A04_MSBLQL;C;1;Status ?    ;
A05_FILIAL;C;8;Filial      ;
A05_CODSCR;C;6;Código      ;
A05_NOME  ;C;40;Nome        ;
A05_ROTINA;C;10;Rotina      ;
A05_MSBLQL;C;1;Status ?    ;
A06_FILIAL;C;8;Filial      ;
A06_CODSCR;C;6;Código      ;
A06_ORDEM ;C;2;Ordem       ;
A06_DESC  ;C;40;Descrição   ;
A06_ACAOUS;C;100;Ação        ;
A06_TPPROC;C;1;Tipo        ;
A06_TPOPER;C;1;Operação    ;
A06_MSBLQL;C;1;Status ?    ;
A08_FILIAL;C;8;Filial      ;
